id;title;month;year;pages;issn;abstract;published
2058;Signatures of Knowledge for Boolean Circuits Under Standard Assumptions.;May;2003;62;3557-1537;Tempora quiquia sed velit etincidunt. Amet etincidunt est porro amet amet tempora. Magnam adipisci quaerat etincidunt non adipisci sit. Quaerat ut ut dolorem dolore. Porro modi quisquam sed. Quiquia est aliquam quisquam voluptatem numquam dolorem. Numquam ut adipisci quisquam. Est modi amet eius non. Dolor amet quaerat est.;Yes
2059;Subactor Data Types as Hierarchical Procedural Models for Computer Animation.;Aug;2002;24;6343-3869;Dolore dolorem est amet tempora labore ipsum porro. Aliquam ipsum modi quiquia adipisci etincidunt adipisci. Dolore dolor consectetur quaerat quisquam eius. Magnam voluptatem dolorem quiquia labore consectetur eius numquam. Numquam eius numquam magnam modi modi ut. Numquam numquam sed porro adipisci modi ut.;Yes
2060;User evaluation of an augmented reality prototype for expert/field operator remote assistance in aeronautics.;Nov;2005;41;7443-3248;Est aliquam velit neque. Dolore ut non voluptatem quisquam. Velit quiquia voluptatem consectetur consectetur eius quiquia etincidunt. Magnam eius sit amet. Voluptatem quaerat neque ut voluptatem ipsum velit quaerat. Adipisci est neque etincidunt dolorem sit velit. Dolorem quaerat quisquam dolorem velit quaerat quaerat ut. Velit amet tempora adipisci numquam quiquia quisquam. Modi eius porro dolore sed voluptatem. Dolore tempora voluptatem magnam ut.;Yes
2061;Experimental Validation of Pilot Situation Awareness Enhancement Through Transparency Design of a Scalable Mixed-Initiative Mission Planner.;Jun;2000;80;7492-2890;Voluptatem magnam ipsum sed neque dolor velit eius. Numquam quisquam dolorem quisquam sit ut. Tempora neque dolor modi non voluptatem est. Labore ipsum dolorem ut eius eius porro labore. Sit dolorem quisquam quaerat etincidunt dolor quiquia modi. Consectetur tempora voluptatem sed quaerat eius sit. Velit modi magnam numquam modi adipisci.;Yes
2062;Evidence-based information literacy instruction: Curriculum planning from the ground up.;Nov;2005;33;4859-2782;Porro numquam amet etincidunt. Dolor quisquam quisquam amet quiquia. Dolore ipsum quiquia eius non neque. Adipisci dolorem sed porro. Dolor labore ut ipsum numquam numquam.;Yes
2063;Self-Presentation in academia today: From peer-reviewed publications to social media.;Aug;2005;92;4127-8602;Neque sed sit velit neque. Voluptatem non velit consectetur sit porro. Neque modi ut tempora consectetur est dolor aliquam. Amet quiquia aliquam porro dolorem labore dolorem. Magnam voluptatem sit quiquia magnam labore quaerat. Quiquia porro tempora voluptatem dolorem neque eius.;Yes
2064;Classification and indexing in highway traffic videos.;Nov;2010;88;8944-4085;Non eius tempora numquam voluptatem consectetur. Dolor neque numquam adipisci dolorem ut sed amet. Tempora ipsum numquam ut amet ut. Tempora dolorem porro etincidunt voluptatem ipsum non aliquam. Non sed magnam aliquam sit eius. Est labore dolor labore quiquia quiquia. Eius quaerat quiquia sed. Dolore amet dolorem est labore.;Yes
2065;Quantitative Analysis of the Morphological Complexity of Malayalam Language.;Feb;2009;22;4453-1543;Dolorem eius velit sed eius porro amet. Quiquia ut porro dolore porro porro. Consectetur voluptatem dolorem eius. Quaerat est est amet quiquia sit sed tempora. Adipisci sed modi sed dolorem. Aliquam eius quiquia numquam eius porro.;Yes
2066;A Common Solution for Tokenization and Part-of-Speech Tagging.;Feb;2000;64;6696-5832;Adipisci magnam labore quisquam dolor dolor tempora. Voluptatem labore sed modi est velit. Non quiquia adipisci voluptatem sed adipisci eius. Porro eius magnam sed sed neque magnam quaerat. Dolor consectetur non dolorem. Voluptatem modi est magnam numquam eius magnam.;Yes
2067;Generic Program Transformation.;Jan;2007;62;1204-6610;Porro porro sit numquam quaerat dolore non. Amet neque labore aliquam dolorem. Adipisci sit sit adipisci eius est quiquia. Ut modi amet modi dolor non etincidunt. Neque porro tempora consectetur tempora. Voluptatem aliquam dolore dolor voluptatem voluptatem. Dolore eius eius tempora sit ipsum neque.;Yes
2068;A provenance-based access control model.;Jun;2003;93;2901-8998;Amet sit numquam porro porro labore quiquia. Non ut ipsum modi voluptatem dolor. Numquam dolorem neque dolorem adipisci ipsum magnam non. Velit non adipisci dolore consectetur ipsum voluptatem voluptatem. Neque velit dolor est. Sed porro ut adipisci. Labore etincidunt tempora est. Amet quaerat labore est labore dolor velit porro. Dolor aliquam eius tempora.;Yes
2069;Peer-to-peer streaming over dynamic random Hamilton cycles.;Jan;1999;99;5075-4669;Porro amet aliquam non. Dolorem etincidunt labore tempora tempora aliquam consectetur. Adipisci eius dolor amet non. Modi non tempora est ut dolore. Sed ipsum neque eius. Dolore ut modi etincidunt. Aliquam numquam sit dolor labore est non. Quaerat sit tempora amet quiquia modi magnam consectetur. Eius quaerat aliquam dolore. Neque tempora dolor labore velit neque.;Yes
2070;Designing a Mixed Reality Framework for Enriching Interactions in Robot Simulation.;Jul;2005;45;1634-8380;Eius velit amet dolore porro consectetur sit eius. Est tempora eius modi adipisci quisquam quaerat amet. Porro dolor porro quiquia aliquam. Aliquam porro dolorem ipsum numquam. Sit consectetur non labore adipisci non amet. Quaerat est modi amet. Numquam porro est amet ipsum. Sit adipisci quisquam neque. Velit voluptatem sit porro dolorem.;Yes
2071;Using artificial packets for training network payload anomaly detection systems.;Aug;2001;30;2791-1381;Magnam adipisci numquam velit etincidunt ipsum dolorem. Quisquam quisquam aliquam dolorem. Tempora porro velit eius modi. Est amet non porro labore modi dolore. Ipsum adipisci consectetur quiquia quisquam labore ut amet. Porro labore aliquam dolorem sed etincidunt. Ipsum velit porro dolore ut sed amet. Dolorem porro quaerat ipsum consectetur numquam.;Yes
2072;Design considerations of coil geometries in bidirectional wireless power transfer systems.;Apr;2006;57;4992-7345;Ut neque adipisci etincidunt tempora numquam aliquam. Quiquia velit quaerat adipisci magnam ipsum non numquam. Dolorem ut quisquam ipsum voluptatem aliquam velit. Magnam magnam eius dolorem voluptatem est est. Dolore velit tempora velit numquam numquam est. Porro adipisci adipisci amet. Labore neque porro dolorem. Quaerat labore aliquam numquam quaerat. Tempora sed quaerat consectetur quiquia velit.;Yes
2073;Bee Swarm Optimization for Community Detection in Complex Network.;Oct;2000;84;4457-1349;Adipisci magnam quiquia non. Etincidunt consectetur magnam quisquam tempora dolore adipisci aliquam. Modi quaerat velit sed tempora. Modi adipisci neque sit voluptatem voluptatem. Voluptatem ipsum modi eius. Eius ut etincidunt dolore amet non porro velit. Porro voluptatem adipisci magnam ut. Consectetur porro velit magnam etincidunt dolore. Dolorem quaerat labore velit ut labore. Amet amet dolorem etincidunt labore sed.;Yes
2074;Non-malleable Secret Sharing for General Access Structures.;Sep;2007;56;5848-5961;Consectetur tempora sit non quisquam. Tempora quaerat porro est modi numquam non. Magnam eius numquam numquam. Sit adipisci etincidunt non quaerat non. Adipisci consectetur ipsum aliquam. Porro numquam etincidunt sed.;Yes
2075;Dynamic activities on an agent-based workflow management system.;Nov;2002;73;4485-8288;Dolor porro ipsum etincidunt quisquam quisquam non. Etincidunt labore consectetur sit. Amet eius non non sit. Consectetur numquam amet numquam neque modi ipsum. Numquam eius dolor non est. Quisquam voluptatem neque tempora velit est porro porro. Velit labore tempora magnam dolorem amet.;Yes
2076;A Note on the Wiener Filter for Vector Random Processes.;Apr;2000;83;1835-4166;Sed neque amet amet ipsum labore. Quisquam magnam modi tempora etincidunt amet ipsum velit. Eius dolor amet amet numquam etincidunt ipsum. Voluptatem neque dolore ut dolor. Ipsum etincidunt dolor tempora. Sed amet labore porro ut eius eius. Quaerat dolor porro est.;Yes
2077;On the Application of a Novel Grouping Harmony Search Algorithm to the Switch Location Problem.;Feb;2009;80;3812-6898;Ipsum voluptatem dolor sed sed amet aliquam. Neque dolore magnam magnam eius numquam tempora eius. Ipsum modi neque non non sed. Velit amet tempora quaerat quisquam tempora. Etincidunt est dolor dolor labore. Est tempora modi quiquia non tempora. Porro neque adipisci velit magnam ipsum. Neque dolore porro quaerat. Dolor quaerat eius sed aliquam dolorem voluptatem. Dolor eius labore est.;Yes
2078;Analysis of the Hiring Cost Impact with a Bi-objective Model for the Multi-depot Open Location Routing Problem.;Apr;2005;59;1950-6827;Aliquam aliquam sit dolorem quaerat quisquam velit. Quisquam tempora magnam eius neque quiquia dolor modi. Modi tempora non non quaerat quisquam quisquam dolorem. Tempora porro quisquam neque numquam sit. Sed sed velit sit dolorem. Porro velit adipisci voluptatem quisquam sit. Aliquam numquam dolorem quiquia dolor porro. Dolore dolore quisquam eius quaerat quisquam quisquam. Consectetur labore amet modi. Porro tempora tempora sed magnam numquam.;Yes
2079;Development of an Inflatable Robotic Arm on Mobile Platform for Fetch-and-Give Tasks.;Aug;2005;60;4037-5229;Sit amet est tempora magnam dolorem. Eius sit amet consectetur aliquam dolor dolore. Sit voluptatem dolore velit quisquam eius eius. Etincidunt magnam eius consectetur. Numquam ipsum neque modi velit est sed non. Quiquia est ut voluptatem neque ut. Amet aliquam aliquam labore neque amet numquam modi. Dolore ipsum consectetur sit dolorem aliquam etincidunt etincidunt. Velit magnam dolorem aliquam dolor. Aliquam numquam ipsum quisquam sit.;Yes
2080;Dynamic Authorization and Intrusion Response in Distributed Systems.;Dec;2010;31;4394-4380;Numquam consectetur dolor modi. Quaerat labore quaerat sed. Consectetur est dolorem porro aliquam. Voluptatem amet adipisci quaerat. Quaerat est velit eius labore neque labore. Dolorem eius sit dolore. Sit quiquia est dolor dolor. Ut magnam consectetur sit tempora non sed aliquam. Numquam tempora tempora ut ut velit modi voluptatem. Sit amet adipisci neque modi.;Yes
2081;Development of an algorithm for automatic detection of oil slicks from synthetic aperture radar (SAR) imagery in the Gulf OF Guinea.;Aug;2001;74;4615-3927;Quisquam ipsum dolore sed. Aliquam aliquam eius tempora modi. Ipsum dolorem dolore quiquia porro aliquam numquam est. Quiquia dolore numquam tempora. Quaerat quisquam quiquia consectetur.;Yes
2082;Impacts of mobile radar and telecommunications systems on Earth remote sensing in the 22-27 GHz range.;Aug;1999;33;1832-7731;Est est sit tempora. Quiquia tempora porro sed. Ipsum velit sed amet porro dolor. Ut tempora sed quiquia. Modi ut aliquam non quaerat sed magnam consectetur. Numquam consectetur aliquam voluptatem sed dolorem. Adipisci eius velit ut voluptatem voluptatem consectetur. Quaerat quaerat consectetur quaerat. Non tempora ut dolore etincidunt velit. Voluptatem tempora consectetur dolore.;Yes
2083;An examination of the Fourier split-step method of representing electromagnetic propagation in the troposphere.;Apr;1999;67;3064-1210;Numquam voluptatem neque numquam tempora dolor quaerat. Dolorem quaerat porro neque quaerat velit magnam quaerat. Labore non quaerat porro. Eius voluptatem ut est quaerat consectetur modi eius. Modi sit dolor non neque ut. Aliquam consectetur labore porro dolore tempora. Adipisci adipisci neque dolor dolor sed amet voluptatem. Quaerat sed etincidunt consectetur modi voluptatem sit. Dolore sed dolorem dolore.;Yes
2084;Multi sensor block adjustment.;Apr;2007;75;2944-5179;Velit magnam dolore est consectetur dolore non tempora. Aliquam quiquia modi dolorem est. Amet ut etincidunt ut modi. Ut dolorem dolore magnam quiquia dolore ipsum. Neque sed etincidunt quaerat quisquam quaerat. Velit adipisci neque non etincidunt neque. Labore sit modi sit ipsum velit sed. Dolore amet tempora labore voluptatem adipisci etincidunt ut. Voluptatem ut amet magnam velit dolorem. Modi magnam dolore labore non sit non consectetur.;Yes
2085;A new approach for microphytobenthos biomass mapping by inversion of simple radiative transfer model: application to Hyspex images of Bourgneuf Bay.;Apr;2003;68;6475-2541;Voluptatem ut porro modi modi etincidunt quisquam quiquia. Aliquam sed voluptatem quisquam dolor porro quaerat etincidunt. Amet consectetur velit labore eius etincidunt. Quaerat porro tempora modi. Velit amet est dolore ipsum. Etincidunt labore quiquia velit magnam porro porro. Velit aliquam tempora quaerat sed quisquam. Aliquam tempora sit eius aliquam non quisquam. Aliquam est dolor velit velit dolore. Sit quaerat dolor ut quisquam quaerat modi.;Yes
2086;Profiling the defenders.;Aug;2006;37;3320-6847;Labore non non numquam sed eius quiquia ipsum. Eius est adipisci voluptatem dolor. Magnam sed velit quisquam ipsum. Magnam ipsum eius voluptatem quiquia eius quiquia adipisci. Dolorem ut dolorem dolor consectetur. Porro magnam quisquam dolore. Magnam adipisci etincidunt est eius ut aliquam sit. Eius velit non dolorem. Sed ut non dolor neque modi.;Yes
2087;Why Do People Not Install Corona-Warn-App? Evidence from Social Media.;Aug;2003;93;2957-3577;Ut magnam adipisci tempora ipsum neque. Sit sed ut neque tempora adipisci. Voluptatem ipsum amet aliquam quisquam ipsum eius est. Ut eius sit ipsum modi. Numquam sit sed quisquam.;Yes
2088;Heuristic Optimization of Scheduling and Allocation for Distributed Systems with Soft Deadlines.;Oct;2003;59;8518-7546;Numquam numquam ipsum quaerat numquam dolore ut eius. Ut tempora dolore non dolorem. Sit aliquam modi quaerat ipsum aliquam. Quaerat dolorem ut porro neque. Ipsum dolore dolore sit dolorem. Labore sit quaerat numquam. Aliquam magnam etincidunt dolorem sed.;Yes
2089;Learning Algorithmic Thinking with Tangible Objects Eases Transition to Computer Programming.;Feb;2004;75;2695-4721;Sit magnam amet tempora dolor tempora est quaerat. Magnam consectetur adipisci velit consectetur dolore. Sed numquam quisquam ipsum ut. Magnam labore numquam porro quiquia sed. Magnam sed sit amet. Ipsum tempora dolor voluptatem non.;Yes
2090;Optimization algorithm for mobile robot paths in the presence of multiple obstacles.;Jun;2002;59;4892-2224;Magnam porro non neque adipisci aliquam amet porro. Quaerat porro quaerat amet quaerat modi amet adipisci. Dolorem voluptatem labore eius consectetur. Dolorem amet velit neque non quaerat. Non dolorem aliquam voluptatem. Eius non magnam quisquam amet consectetur. Sed neque dolore quisquam est ipsum.;Yes
2091;Artificial Bee Colony-Trained Functional Link Artificial Neural Network Model for Software Cost Estimation.;Jun;2004;93;2715-5061;Dolore magnam quaerat aliquam sit dolor. Adipisci aliquam sit labore eius porro eius magnam. Neque etincidunt quiquia neque aliquam adipisci aliquam. Quaerat sit quisquam quisquam. Labore adipisci eius velit. Magnam non ipsum sit. Non dolor dolor labore magnam. Amet etincidunt voluptatem ipsum dolore adipisci quiquia ipsum. Quiquia ut etincidunt ipsum sed modi porro.;Yes
2092;Learned Invariant Feature Transform and Extreme Learning Machines for Face Recognition.;Dec;2001;20;6385-8978;Velit quaerat tempora ipsum sit. Non numquam non velit modi aliquam. Magnam labore numquam quaerat aliquam neque neque magnam. Modi quisquam dolorem amet quaerat. Ut sed quiquia labore. Ut est sit dolor adipisci magnam. Modi sit velit quaerat consectetur est dolore. Modi magnam ipsum consectetur labore ipsum ipsum eius.;Yes
2093;An Architecture and Domain Specific Language Framework for Repeated Domain-Specific Predictive Modeling.;May;2004;68;5110-4144;Velit porro adipisci dolorem dolore quisquam sed velit. Sit quaerat dolorem dolor tempora ut etincidunt ut. Voluptatem amet quisquam voluptatem. Modi neque tempora ipsum dolor est. Quisquam modi est ipsum porro quaerat velit.;Yes
2094;Security Limits for Compromising Emanations.;Dec;2002;91;3830-5660;Sed quiquia aliquam neque. Dolorem neque quiquia eius. Adipisci non sed voluptatem voluptatem magnam. Sed aliquam numquam sit est dolor sit labore. Quiquia aliquam ipsum tempora est etincidunt. Consectetur amet ut dolor numquam. Quaerat magnam est labore quaerat. Etincidunt porro eius neque dolore dolor etincidunt. Modi ut non quisquam dolorem dolore. Sed quiquia labore modi aliquam consectetur non.;Yes
2095;Leaf languages and string compression.;Apr;2010;60;7297-1928;Modi porro voluptatem neque. Magnam sed velit ut. Adipisci ipsum eius sit quaerat est ut. Magnam adipisci modi velit labore modi. Velit non sed quisquam sit quisquam quiquia. Dolore dolorem consectetur sed aliquam. Non numquam quaerat voluptatem dolor amet.;Yes
2096;Emergent Tool Use From Multi-Agent Autocurricula.;Jun;2004;69;7869-3696;Neque velit modi quisquam labore quisquam aliquam porro. Quaerat modi labore tempora aliquam etincidunt. Amet tempora eius sit. Sit eius est neque voluptatem eius. Etincidunt sed aliquam sed.;Yes
2097;Person, Human, Neither: The Dehumanization Potential of Automated Image Tagging.;Apr;2007;37;5761-3419;Voluptatem ut eius etincidunt amet tempora ut sed. Eius est aliquam etincidunt. Velit ipsum dolor sit ipsum non. Dolorem dolor sit voluptatem quisquam ipsum adipisci aliquam. Porro modi dolorem dolor dolore quaerat tempora magnam. Modi porro quisquam tempora aliquam aliquam.;Yes
2098;Hardware Design and Implementation of SM3 Hash Algorithm for Financial IC Card.;Dec;2009;36;4447-5155;Amet est tempora etincidunt voluptatem. Dolor sit dolor quiquia ut etincidunt modi voluptatem. Consectetur eius consectetur quiquia. Aliquam numquam dolor ipsum etincidunt quisquam velit. Tempora quisquam non quisquam magnam amet eius ipsum. Quisquam modi quiquia ut sed voluptatem modi ut. Quisquam porro consectetur est quiquia eius magnam quiquia. Magnam eius sit ipsum.;No
2099;Dense Open-set Recognition with Synthetic Outliers Generated by Real NVP.;Jul;2002;48;1451-6653;Dolore consectetur aliquam sit quaerat. Eius dolorem etincidunt consectetur. Quaerat dolor consectetur aliquam sit non quiquia. Eius sed non labore labore adipisci numquam. Numquam labore ut voluptatem non quisquam. Labore quaerat quisquam quiquia quiquia ipsum amet voluptatem. Consectetur ipsum quiquia ipsum adipisci porro. Neque eius dolorem voluptatem. Dolor est aliquam sit etincidunt ipsum labore quiquia.;No
2100;Getting Closer to Customers: Mobility Revolution in Pharmaceuticals.;Aug;2007;51;4483-2379;Dolore labore adipisci neque velit adipisci. Eius neque magnam voluptatem porro consectetur labore. Labore amet quaerat magnam aliquam quisquam ipsum. Non etincidunt quisquam eius. Ut ut dolor neque. Sit ut adipisci quisquam dolor velit non.;Yes
2101;Parameter Optimization in Automatic Transcription of Music.;Sep;2004;40;8540-6335;Labore dolor etincidunt consectetur neque porro sit sed. Dolor porro quaerat eius dolore modi adipisci consectetur. Ut ipsum porro est modi voluptatem. Aliquam modi est sed labore consectetur quiquia adipisci. Quaerat quaerat ipsum sed amet neque. Quaerat dolore quaerat etincidunt labore dolore adipisci est. Tempora eius labore velit neque dolore ut labore.;Yes
2102;A fast displacement-based Peterson decoder.;Jan;2009;80;7989-1062;Magnam eius quaerat quiquia amet neque. Aliquam aliquam neque dolore porro numquam quiquia numquam. Consectetur consectetur labore amet tempora non magnam modi. Aliquam quisquam dolore amet. Adipisci neque porro ipsum voluptatem magnam dolor. Velit modi porro voluptatem dolore. Neque consectetur adipisci sit labore est sit. Dolor dolorem neque porro ut porro modi.;Yes
2103;Computational approaches to connecting levels of analysis in networked learning communities.;May;2006;34;5906-8353;Dolor ut neque dolore. Aliquam labore modi dolorem. Modi tempora ut est. Quiquia adipisci numquam dolor. Voluptatem voluptatem dolor non consectetur consectetur dolorem modi.;Yes
2104;Two-Phase Representation Based Classification.;Jun;2010;95;4667-2599;Numquam labore sed velit dolorem eius etincidunt. Ut adipisci non non dolorem labore adipisci. Dolore amet est eius velit dolorem. Amet est sed aliquam. Ut dolor ipsum modi. Est ipsum dolor dolor. Amet dolore ipsum dolorem etincidunt amet sit quiquia. Porro sed magnam modi tempora. Est ipsum amet dolorem porro. Sit velit consectetur adipisci velit porro sed ut.;Yes
2105;Improving Image Captioning by Concept-Based Sentence Reranking.;May;2008;100;4083-5504;Sit dolore velit dolore sed. Eius etincidunt voluptatem etincidunt est. Ut dolor eius voluptatem porro modi dolorem. Eius consectetur quisquam dolore aliquam. Modi sed dolorem sit non neque non. Voluptatem tempora labore aliquam magnam.;Yes
2106;A Study of Network Congestion in Two Supercomputing High-Speed Interconnects.;Jan;2006;68;7486-8460;Quisquam porro est consectetur ut porro eius ipsum. Voluptatem non ipsum sed tempora aliquam ut. Adipisci velit modi numquam. Velit tempora quaerat quiquia voluptatem adipisci est quaerat. Eius dolorem quisquam dolorem est. Eius ipsum dolor ipsum sit eius labore adipisci. Est voluptatem amet etincidunt non est adipisci. Eius tempora non tempora magnam.;Yes
2107;PCI express and advanced switching: evolutionary path to building next generation interconnects.;Mar;2005;36;5295-1873;Ut sed labore dolorem dolor. Quisquam amet neque neque neque porro. Est non modi tempora porro consectetur non. Quisquam neque eius aliquam ut ut quiquia ipsum. Voluptatem tempora est est. Voluptatem numquam magnam velit modi velit. Sit etincidunt velit porro eius porro.;Yes
2108;Research of Constructing 3D Digital River Based on ArcEngine and SketchUp.;Feb;2009;75;3852-4206;Voluptatem est dolorem non ipsum quaerat quisquam sed. Magnam labore quiquia quaerat quisquam eius sit modi. Dolorem voluptatem modi eius quaerat consectetur non. Labore eius etincidunt quaerat modi tempora. Ipsum etincidunt etincidunt etincidunt magnam. Magnam eius dolor sed etincidunt. Est sed aliquam sed velit. Dolore quaerat quisquam modi tempora non numquam.;Yes
2109;People Living with Multiple Long-Term Conditions: Meeting the Challenges of Personalized Decision Making.;Nov;1999;28;2670-6947;Eius magnam adipisci non. Sed sed dolorem adipisci porro. Tempora dolore quaerat est dolor dolore consectetur. Dolor amet etincidunt labore quisquam ut ipsum. Eius labore porro labore dolor porro. Velit etincidunt amet eius voluptatem. Quaerat dolor eius est dolorem tempora. Labore est quaerat sed velit quisquam. Neque non modi quaerat.;Yes
2110;Specialization of Concurrent Guarded Multi-set Transformation Rules.;Sep;2009;61;8392-5497;Non porro dolorem dolorem modi. Dolor sed dolorem non magnam consectetur. Quisquam voluptatem dolorem neque labore velit. Dolor non dolor consectetur porro. Sed voluptatem modi dolore tempora consectetur labore labore. Non est quiquia sit tempora etincidunt dolorem.;Yes
2111;Selecting Feature-Words in Tag Sense Disambiguation Based on Their Shapley Value.;Aug;2005;39;3583-4997;Amet neque etincidunt labore quiquia voluptatem dolore numquam. Velit consectetur porro ipsum. Tempora ipsum magnam dolor. Quiquia ut aliquam consectetur dolor numquam ipsum. Magnam ipsum etincidunt sit quaerat adipisci eius neque. Non est etincidunt ut neque etincidunt.;Yes
2112;Mining web hyperlink data for business information: the case of telecommunication companies.;Oct;2010;54;7397-6330;Neque modi voluptatem ut adipisci sit adipisci. Dolor neque etincidunt velit quisquam velit quiquia labore. Numquam neque dolor non quaerat sed sed tempora. Dolorem magnam sit consectetur voluptatem non non. Numquam dolore amet eius velit quaerat modi. Neque quaerat etincidunt quaerat. Neque quiquia eius numquam dolor. Numquam voluptatem magnam etincidunt. Dolore adipisci amet quaerat magnam dolore consectetur eius. Amet velit dolor non.;Yes
2113;Besonderheiten der Rechenautomaten D1, D2, D4a.;Apr;2003;20;3692-2087;Etincidunt numquam dolore adipisci. Dolorem non numquam quisquam amet non dolorem eius. Voluptatem numquam porro ut porro dolore magnam adipisci. Voluptatem magnam velit quaerat. Aliquam ut adipisci amet numquam quiquia adipisci. Neque sed tempora labore numquam amet aliquam labore. Ut adipisci neque numquam porro numquam est.;Yes
2114;Research Issues in Using Reconfigurable Computing to Accelerate Infrared Simulation.;Oct;2007;38;3998-2188;Dolorem tempora adipisci porro labore consectetur. Quaerat dolor velit consectetur ut non neque sed. Labore dolor dolor sit ut tempora magnam neque. Quaerat tempora modi etincidunt. Voluptatem quisquam eius velit. Velit eius porro neque sed ut voluptatem dolore. Adipisci amet dolore eius. Dolore voluptatem adipisci sit.;Yes
2115;Ein System zur benutzerdefinierten Visualisierung von parallelen Programmen.;Oct;2006;81;3140-6861;Quaerat dolore etincidunt quiquia amet tempora. Adipisci quiquia tempora consectetur neque magnam. Dolor ipsum voluptatem ipsum. Amet est sed non quisquam. Quiquia dolorem modi voluptatem quiquia neque. Consectetur dolor consectetur neque quisquam porro. Dolor modi quiquia dolore dolorem ipsum non.;Yes
2116;Load-adaptive Beacon exchange rate in self configuring ubiquitous networks.;Sep;2002;89;6146-5568;Quiquia adipisci aliquam magnam. Labore quaerat sit labore quisquam amet. Ipsum consectetur modi velit numquam adipisci quiquia dolor. Dolore eius adipisci consectetur aliquam magnam eius. Est aliquam porro sit quisquam quiquia etincidunt tempora. Etincidunt aliquam adipisci amet numquam magnam. Voluptatem ipsum ipsum porro sit.;Yes
2117;Efficient execution of memory access phases using dataflow specialization.;Sep;2008;23;5025-6148;Porro voluptatem etincidunt voluptatem magnam. Neque amet labore eius quiquia neque quaerat ipsum. Amet dolore ut ipsum non etincidunt. Labore amet dolore eius. Dolorem tempora dolore porro dolorem. Consectetur dolor ut etincidunt ipsum dolore non dolore. Magnam dolorem ut modi non.;Yes
2118;Measuring Non-Expert Comprehension of Machine Learning Fairness Metrics.;Jan;2009;35;2380-7681;Dolor aliquam est sed non adipisci consectetur sed. Porro sit quaerat etincidunt porro neque magnam. Porro consectetur non amet neque. Dolore velit dolore adipisci. Sit dolorem ipsum tempora numquam. Quaerat eius amet etincidunt dolore adipisci voluptatem. Velit quiquia porro consectetur sit. Neque dolor ipsum quisquam porro. Est dolore ipsum dolorem consectetur.;Yes
2119;Deep networks for robust visual recognition.;Feb;2002;69;1344-1966;Dolore aliquam labore voluptatem voluptatem consectetur magnam consectetur. Ut voluptatem neque quaerat eius tempora tempora. Est magnam quaerat ipsum. Numquam ut quisquam quiquia non est porro dolore. Numquam dolorem quisquam neque. Dolore dolorem ipsum ut ut. Etincidunt est dolor non labore quisquam quaerat. Neque neque amet eius velit dolore.;Yes
2120;Learning Efficient Structured Sparse Models.;Aug;2003;60;4529-8913;Consectetur tempora est etincidunt quisquam tempora non. Ut neque non dolore sed ut quisquam consectetur. Porro tempora consectetur dolore est dolor. Voluptatem dolor est porro magnam eius velit. Dolorem velit voluptatem dolor amet eius porro porro. Sed tempora labore amet. Sit magnam dolore voluptatem eius quaerat neque.;Yes
2121;Towards a Formal Theory of Communication for Multi-agent Systems.;Dec;2000;62;5434-5481;Aliquam numquam labore magnam adipisci modi numquam. Voluptatem non tempora ut. Magnam voluptatem sed porro neque. Sed dolore dolorem sed velit etincidunt velit. Ipsum tempora tempora aliquam sit. Ipsum ut dolor ipsum tempora adipisci quaerat. Aliquam eius velit dolore amet. Consectetur neque porro quisquam voluptatem.;Yes
2122;Defending Against Man-In-The-Middle Attack in Repeated Games.;Feb;2002;87;2846-7579;Consectetur tempora neque dolor. Consectetur sit dolorem aliquam. Ut dolorem eius sed quiquia dolore magnam. Adipisci velit aliquam modi non. Quiquia ipsum consectetur adipisci non consectetur dolore ipsum. Sed voluptatem est labore sit. Dolore quisquam sed neque. Neque numquam modi velit aliquam etincidunt modi.;Yes
2123;Speeding Up Automatic Hyperparameter Optimization of Deep Neural Networks by Extrapolation of Learning Curves.;Jun;2003;45;2826-1229;Magnam labore dolore quisquam ut. Amet velit magnam ipsum eius sit etincidunt. Magnam dolorem voluptatem tempora labore etincidunt est. Quiquia neque adipisci quiquia. Velit numquam modi ut quaerat amet quisquam quiquia. Labore aliquam magnam modi ipsum ut.;Yes
2124;Sequential 3D Human Pose Estimation Using Adaptive Point Cloud Sampling Strategy.;Dec;2004;62;3239-5463;Quaerat modi voluptatem dolor amet labore neque tempora. Amet magnam dolorem velit amet est sit. Quiquia numquam adipisci neque quiquia dolor labore porro. Quisquam labore numquam velit amet neque. Etincidunt neque modi sed quiquia porro dolorem. Adipisci est quiquia sit. Velit est ut voluptatem dolorem.;Yes
2125;Transferring Learned Control-Knowledge between Planners.;May;2007;79;5276-7978;Neque est aliquam ipsum aliquam labore est. Numquam porro sed consectetur velit eius voluptatem. Amet neque voluptatem est est. Etincidunt numquam dolor consectetur. Velit quaerat quaerat sed ut amet modi. Neque quaerat tempora magnam aliquam. Consectetur ut ipsum consectetur.;Yes
2126;Heuristic Search for Approximating One Matrix in Terms of Another Matrix.;Oct;2004;36;7470-1333;Numquam quiquia magnam consectetur consectetur amet. Non dolorem non dolore porro labore velit. Sed dolor sed magnam. Sit quiquia tempora dolorem dolore amet quiquia labore. Ut velit eius neque modi modi velit quisquam. Dolorem quaerat porro aliquam voluptatem adipisci non. Amet eius tempora etincidunt. Velit neque ut neque quaerat quaerat aliquam. Quiquia adipisci ipsum dolore ut. Velit neque velit quisquam velit etincidunt quiquia.;Yes
